"week","season","rate"
9,2016,0.0859914730855288
19,2016,0.0687931784684231
2,2016,0
11,2016,0.154784651553952
18,2016,0.0859914730855288
10,2016,0.171982946171058
16,2016,0.0515948838513173
40,2016,0
17,2016,0.0343965892342115
4,2016,0
8,2016,0
44,2016,0.0343965892342115
25,2016,0.0687931784684231
1,2016,0
45,2016,0.0171982946171058
46,2016,0
49,2016,0.0171982946171058
50,2016,0.0515948838513173
12,2016,0.0687931784684231
39,2016,0
20,2016,0.0859914730855288
41,2016,0
42,2016,0.0171982946171058
43,2016,0.0171982946171058
15,2016,0.0171982946171058
14,2016,0.103189767702635
26,2016,0.0171982946171058
27,2016,0.0859914730855288
3,2016,0
47,2016,0.0859914730855288
48,2016,0.0859914730855288
6,2016,0
13,2016,0.0343965892342115
51,2016,0
21,2016,0.0859914730855288
22,2016,0.0343965892342115
23,2016,0.0859914730855288
24,2016,0.0343965892342115
32,2016,0.0343965892342115
5,2016,0
31,2016,0.0171982946171058
28,2016,0.0343965892342115
34,2016,0.0343965892342115
52,2016,0.0171982946171058
38,2016,0
7,2016,0
33,2016,0.0171982946171058
29,2016,0.0171982946171058
30,2016,0.0343965892342115
37,2016,0.0171982946171058
35,2016,0.0859914730855288
36,2016,0.0515948838513173
52,2017,0.0680782695865437
39,2017,0.0340391347932718
11,2017,0.187215241362995
12,2017,0.0340391347932718
40,2017,0.0340391347932718
38,2017,0.0510587021899077
41,2017,0.0680782695865437
19,2017,0.0170195673966359
51,2017,0.0850978369831796
43,2017,0.0510587021899077
10,2017,0.0680782695865437
4,2017,0
5,2017,0.0170195673966359
13,2017,0.0340391347932718
7,2017,0.0170195673966359
22,2017,0
23,2017,0
42,2017,0.0510587021899077
14,2017,0.0510587021899077
16,2017,0.0170195673966359
17,2017,0
18,2017,0.0170195673966359
9,2017,0
3,2017,0.0170195673966359
48,2017,0.0340391347932718
49,2017,0.0680782695865437
6,2017,0
34,2017,0.0340391347932718
20,2017,0
21,2017,0.0170195673966359
37,2017,0.0510587021899077
24,2017,0
25,2017,0
44,2017,0.0510587021899077
1,2017,0.0340391347932718
45,2017,0.0680782695865437
8,2017,0
2,2017,0.0510587021899077
32,2017,0.0170195673966359
50,2017,0.153176106569723
28,2017,0.0680782695865437
35,2017,0.0170195673966359
36,2017,0.0170195673966359
27,2017,0.0510587021899077
33,2017,0.0510587021899077
26,2017,0
15,2017,0.0340391347932718
47,2017,0.0680782695865437
30,2017,0.0340391347932718
29,2017,0.0510587021899077
46,2017,0.0680782695865437
31,2017,0.0170195673966359
2,2018,0.151587883075213
19,2018,0.0505292943584043
18,2018,0.0673723924778724
9,2018,0.0336861962389362
11,2018,0.0336861962389362
17,2018,0.0168430981194681
3,2018,0.0505292943584043
4,2018,0.134744784955745
10,2018,0
32,2018,0.0505292943584043
40,2018,0
41,2018,0
51,2018,0.0505292943584043
52,2018,0.0336861962389362
43,2018,0
44,2018,0
1,2018,0.117901686836277
8,2018,0.0505292943584043
47,2018,0
48,2018,0.0336861962389362
12,2018,0.0673723924778724
6,2018,0.0673723924778724
7,2018,0
38,2018,0
39,2018,0
42,2018,0
25,2018,0.0336861962389362
15,2018,0.0168430981194681
16,2018,0.0505292943584043
28,2018,0.0505292943584043
29,2018,0.101058588716809
45,2018,0
46,2018,0.0168430981194681
33,2018,0.0336861962389362
13,2018,0.0336861962389362
5,2018,0.0842154905973405
20,2018,0.0336861962389362
21,2018,0.0168430981194681
24,2018,0.0336861962389362
14,2018,0.0673723924778724
26,2018,0
27,2018,0.101058588716809
31,2018,0.117901686836277
34,2018,0.0673723924778724
50,2018,0.0336861962389362
30,2018,0.117901686836277
36,2018,0
22,2018,0.0505292943584043
23,2018,0.0842154905973405
35,2018,0
49,2018,0.0505292943584043
37,2018,0.0336861962389362
7,2019,0.299849575462976
51,2019,0.0333166194958862
13,2019,0.0832915487397156
50,2019,0.0333166194958862
5,2019,0.166583097479431
38,2019,0.0166583097479431
41,2019,0.0499749292438293
42,2019,0.0333166194958862
52,2019,0
19,2019,0.0333166194958862
9,2019,0.116608168235602
10,2019,0.0499749292438293
6,2019,0.249874646219147
12,2019,0.0666332389917725
2,2019,0.0666332389917725
4,2019,0.0999498584876587
3,2019,0.0666332389917725
20,2019,0.0499749292438293
21,2019,0.0499749292438293
39,2019,0.0499749292438293
40,2019,0.0499749292438293
25,2019,0.0499749292438293
43,2019,0.0333166194958862
18,2019,0.0333166194958862
8,2019,0.283191265715033
11,2019,0.133266477983545
47,2019,0.0333166194958862
48,2019,0.0166583097479431
49,2019,0.0333166194958862
14,2019,0.0499749292438293
35,2019,0.0333166194958862
36,2019,0.0333166194958862
22,2019,0.0499749292438293
17,2019,0
24,2019,0.0666332389917725
15,2019,0.0333166194958862
16,2019,0.0166583097479431
34,2019,0.116608168235602
46,2019,0.0499749292438293
32,2019,0
33,2019,0.0499749292438293
37,2019,0.0166583097479431
23,2019,0.0333166194958862
26,2019,0.0499749292438293
45,2019,0.0666332389917725
27,2019,0.0666332389917725
28,2019,0
44,2019,0.0333166194958862
29,2019,0.0166583097479431
31,2019,0.0832915487397156
30,2019,0.0999498584876587
19,2020,0
10,2020,0.0658908024676106
11,2020,0.0164727006169026
51,2020,0
52,2020,0
49,2020,0
9,2020,0.0494181018507079
12,2020,0.0329454012338053
46,2020,0
8,2020,0.0658908024676106
44,2020,0
5,2020,0.0988362037014158
6,2020,0.0988362037014158
13,2020,0
2,2020,0.0494181018507079
50,2020,0
15,2020,0
16,2020,0
53,2020,0
18,2020,0
45,2020,0
32,2020,0
33,2020,0
47,2020,0
3,2020,0.0329454012338053
4,2020,0.0329454012338053
38,2020,0
7,2020,0.0494181018507079
14,2020,0
40,2020,0
41,2020,0
17,2020,0
43,2020,0
1,2020,0.0329454012338053
31,2020,0
21,2020,0
34,2020,0
48,2020,0
20,2020,0
27,2020,0
22,2020,0
39,2020,0
26,2020,0
23,2020,0
42,2020,0
29,2020,0
30,2020,0
36,2020,0
37,2020,0
35,2020,0
24,2020,0
28,2020,0
25,2020,0
26,2022,0
27,2022,0
28,2022,0
29,2022,0
30,2022,0
24,2022,0
36,2022,0
22,2022,0
23,2022,0
15,2022,0
18,2022,0
13,2022,0
14,2022,0
19,2022,0
20,2022,0
21,2022,0
32,2022,0
33,2022,0
34,2022,0
12,2022,0
35,2022,0
25,2022,0
48,2022,0
16,2022,0
17,2022,0
1,2022,0
37,2022,0
7,2022,0
8,2022,0
9,2022,0
10,2022,0
11,2022,0
45,2022,0
52,2022,0
46,2022,0
47,2022,0
38,2022,0
39,2022,0
31,2022,0
43,2022,0
44,2022,0
51,2022,0
50,2022,0.0161801825124587
40,2022,0
41,2022,0
2,2022,0
3,2022,0
4,2022,0
42,2022,0.0161801825124587
49,2022,0
5,2022,0
6,2022,0
13,2023,0.0160452862158155
21,2023,0.0160452862158155
23,2023,0.0962717172948931
12,2023,0.0481358586474465
22,2023,0.032090572431631
26,2023,0
36,2023,0.032090572431631
20,2023,0
24,2023,0.032090572431631
10,2023,0.032090572431631
11,2023,0.0160452862158155
33,2023,0.0641811448632621
8,2023,0
9,2023,0
32,2023,0
28,2023,0.0160452862158155
34,2023,0.0160452862158155
35,2023,0
27,2023,0.0160452862158155
19,2023,0.0160452862158155
7,2023,0.0160452862158155
39,2023,0.0160452862158155
40,2023,0
41,2023,0.0802264310790776
42,2023,0.032090572431631
5,2023,0.0160452862158155
6,2023,0.0160452862158155
25,2023,0.0160452862158155
48,2023,0
14,2023,0.0160452862158155
15,2023,0
29,2023,0.0160452862158155
30,2023,0.0160452862158155
18,2023,0.0160452862158155
17,2023,0
38,2023,0.032090572431631
31,2023,0
43,2023,0.032090572431631
44,2023,0.0481358586474465
45,2023,0
49,2023,0.0160452862158155
50,2023,0
51,2023,0
52,2023,0.0160452862158155
4,2023,0.0641811448632621
1,2023,0.0962717172948931
16,2023,0.032090572431631
37,2023,0
46,2023,0.0641811448632621
2,2023,0.128362289726524
3,2023,0.0641811448632621
47,2023,0
4,2024,0.0159036872698935
9,2024,0.0477110618096806
5,2024,0.031807374539787
17,2024,0.0159036872698935
25,2024,0.0477110618096806
28,2024,0.0159036872698935
30,2024,0.0159036872698935
6,2024,0.031807374539787
8,2024,0.0159036872698935
7,2024,0.0477110618096806
46,2024,0.031807374539787
48,2024,0.031807374539787
10,2024,0.031807374539787
11,2024,0.031807374539787
19,2024,0.031807374539787
23,2024,0.031807374539787
24,2024,0.031807374539787
42,2024,0.0159036872698935
2,2024,0.0159036872698935
3,2024,0
1,2024,0.0159036872698935
31,2024,0.031807374539787
32,2024,0.0477110618096806
33,2024,0.031807374539787
34,2024,0.0477110618096806
35,2024,0.031807374539787
